model,mean,std,time,val
CoxPH,0.7375513539518691,0.010107311062585137,0.010492130120595296,0.7368685042434583
Random Forests,0.7379565166589591,0.009851004837489978,0.27123483419418337,0.7395248694884338
Gradient Boosting,0.7646498627002118,0.011138468336890434,0.1180035670598348,0.7690977182536831
SVM,0.476350081107205,0.004499019878513595,0.018024830023447673,0.46584350914428907
