model,mean,std,time,val
CoxPH,0.7324881004601009,0.005161402027953215,0.011108084519704183,0.7306268144440472
Random Forests,0.7329989142357125,0.006593648616289791,0.28712191581726076,0.7309910618519843
Gradient Boosting,0.7499288798985738,0.00489924717878555,0.12961821556091307,0.7500963889882016
SVM,0.4767583196063748,0.007885547892580514,0.012290799617767334,0.46913593135502324
