model,mean,std,time,val
CoxPH,0.7320495207602107,0.00501434105560066,0.010509387652079264,0.7304117268501966
Random Forests,0.7330007892248309,0.006592706809135059,0.29349471728007,0.7309910618519843
Gradient Boosting,0.7500384703224637,0.005115843510452326,0.09603133598963419,0.7510389703253486
SVM,0.47675735040081796,0.007885659288614068,0.0331403374671936,0.46835538076510547
